Gene1	Gene2	Weight
RP11-805I24.3	RP11-36D19.9	0.72007245
RP11-805I24.3	RP11-313I2.5	0.70710737
RP11-805I24.3	RP5-963E22.5	0.71617466
RP11-805I24.3	HSPD1P7	0.7210791
RP11-805I24.3	ME2P1	0.74869126
ZNF479	HNF4GP1	0.77189445
ZNF479	CT45A3	0.7833925
ZNF479	ACTR3BP5	0.70753914
ZNF479	RP4-668E10.4	0.7235926
ZNF479	PRNT	0.7285099
ZNF479	RP11-470L19.2	0.70179415
ZNF479	RP5-896L10.1	0.7039981
ZNF479	RP11-68D16.2	0.70883554
ZNF479	MTND4P1	0.75978786
ZNF479	C16orf97	0.7137231
ZNF479	RP11-19D2.2	0.72547436
ZNF479	RP11-339F13.2	0.7062288
ZNF479	CTAGE13P	0.7138993
ZNF479	MTND4P5	0.7010417
ZNF479	RP11-568G20.2	0.74373317
ZNF479	PRL	0.70636314
ZNF479	AC062022.1	0.73400587
ZNF479	ANKRD26P2	0.7080832
ZNF479	CTD-2351A16.1	0.7248881
ZNF479	AC005176.2	0.7179866
RP11-595O22.1	LPCAT2BP	0.8600356
RP11-595O22.1	RP1-228P16.9	0.72238475
RP11-595O22.1	RP11-76I14.1	0.71346897
RP11-595O22.1	RP4-668E10.4	0.7024421
RP11-595O22.1	RP11-14K3.1	0.7128865
RP11-595O22.1	RP11-410C4.5	0.7161071
RP11-595O22.1	FAM47C	0.70000595
RP11-595O22.1	ADAM7	0.72613317
RP11-595O22.1	RP11-153K16.2	0.79512835
RP11-595O22.1	RP3-449H6.2	0.7052217
RP11-595O22.1	RP11-87M18.2	0.7274936
RP11-595O22.1	RP11-946L20.1	0.70684594
RP11-595O22.1	RP11-193H5.1	0.7828295
RP11-595O22.1	CHIAP2	0.71663254
RP11-595O22.1	RP11-730N24.1	0.70238835
RP11-595O22.1	LINC01222	0.77568054
RP11-595O22.1	ANKRD26P2	0.76306456
RP11-595O22.1	AC034110.1	0.72937876
RP11-595O22.1	CTD-2351A16.1	0.7270484
RP11-595O22.1	CAPZA3	0.7261555
RP11-595O22.1	ZNF705A	0.7255843
RP11-595O22.1	LINC01516	0.70050174
RP11-342M1.6	LINC01019	0.70967436
RP11-342M1.6	OR4G1P	0.7074353
RP11-342M1.6	RP5-1119O21.2	0.7403877
RP11-342M1.6	AKAP4	0.70623916
RP11-342M1.6	CTC-525D6.1	0.7919564
RP11-342M1.6	ZNF101P1	0.7129949
RP11-342M1.6	SPATA31A6	0.700978
RP11-342M1.6	HCRTR2	0.723376
RP11-342M1.6	RP11-15E1.6	0.70580834
RP11-342M1.6	LL22NC03-88E1.17	0.71263605
RP11-342M1.6	RP11-826N14.2	0.71176434
RP11-342M1.6	RP13-786C16.1	0.70006746
RP11-342M1.6	PRR18	0.70182306
RP11-342M1.6	ASH2LP1	0.7045247
RP11-342M1.6	LL22NC03-63E9.3	0.7103517
RP11-342M1.6	OSTN	0.7013733
PABPC1P12	AC005307.3	0.77412915
PABPC1P12	GMNC	0.7360821
PABPC1P12	ICE2P2	0.7102489
PABPC1P12	SPATA31D2P	0.76149416
PABPC1P12	HSFY1P1	0.7319761
PABPC1P12	RP11-73G16.1	0.7133562
PABPC1P12	AC011718.4	0.7319536
PABPC1P12	MTND5P13	0.7273095
PABPC1P12	RP11-25D10.2	0.7563326
PABPC1P12	TISP43	0.72681445
PABPC1P12	TAAR2	0.72609115
PABPC1P12	TOPAZ1	0.7111313
PABPC1P12	RP11-342F21.1	0.70942783
PABPC1P12	OR5H15	0.74761385
PABPC1P12	LINC01299	0.7127277
PABPC1P12	PRKRIRP8	0.7045583
PABPC1P12	PKP4P1	0.71099424
PABPC1P12	KLK15	0.71764106
PABPC1P12	CTC-339O9.1	0.72745305
PABPC1P12	RP1-140J1.1	0.7273757
PABPC1P12	LINC00320	0.7072267
PABPC1P12	HYALP1	0.70683664
PABPC1P12	RP11-16E18.1	0.72459745
PABPC1P12	RP11-730N24.1	0.76005507
PABPC1P12	KRT18P43	0.7273558
PABPC1P12	RP11-80F22.5	0.7623537
PABPC1P12	RP4-640H8.2	0.7267108
PABPC1P12	HTR5A-AS1	0.72105426
PABPC1P12	AC018717.2	0.7049243
PABPC1P12	C10orf53	0.74489206
PABPC1P12	PRR23B	0.7435928
PABPC1P12	LINC00210	0.73326045
PABPC1P12	LINC01551	0.7393678
PABPC1P12	RP5-998G20.1	0.70551187
PABPC1P12	MTRNR2L11	0.7013614
PABPC1P12	MTND5P30	0.7033989
PABPC1P12	RP11-861E23.2	0.730462
HNF4GP1	CT45A3	0.7611616
HNF4GP1	DCAF12L1	0.71650386
HNF4GP1	OR4G1P	0.7426918
HNF4GP1	OPCML-IT1	0.71618015
HNF4GP1	RP4-668E10.4	0.7098709
HNF4GP1	PRNT	0.7269134
HNF4GP1	RAX	0.71501046
HNF4GP1	GALNTL5	0.7299301
HNF4GP1	RP11-470L19.2	0.74614
HNF4GP1	RP5-896L10.1	0.7495695
HNF4GP1	AC011718.4	0.7764797
HNF4GP1	MTND5P13	0.7621241
HNF4GP1	BLACE	0.76280946
HNF4GP1	AC013733.4	0.82371753
HNF4GP1	MTND4P1	0.70914656
HNF4GP1	HCRTR2	0.72319335
HNF4GP1	RP11-56L13.1	0.7409229
HNF4GP1	RP11-946L20.1	0.71758765
HNF4GP1	PRDM9	0.7127641
HNF4GP1	RP11-24P4.1	0.76710874
HNF4GP1	RP11-475D12.2	0.7477157
HNF4GP1	VN1R7P	0.73638004
HNF4GP1	RP11-19D2.2	0.7951732
HNF4GP1	HSPD1P3	0.7624915
HNF4GP1	RP11-339F13.2	0.71895045
HNF4GP1	MTND4P5	0.7092266
HNF4GP1	RP11-568G20.2	0.7398303
HNF4GP1	RP11-16E18.1	0.786789
HNF4GP1	KIF2B	0.7246361
HNF4GP1	KRT18P43	0.70447326
HNF4GP1	AC062022.1	0.7340524
HNF4GP1	ANKRD26P2	0.7583254
HNF4GP1	RP11-716D16.1	0.715638
HNF4GP1	RP11-271F18.3	0.72030336
HNF4GP1	FLJ22763	0.7348847
HNF4GP1	RP5-998G20.1	0.7046264
HNF4GP1	RP11-152L7.2	0.74063253
HNF4GP1	RP3-334F4.1	0.74861175
HNF4GP1	ASH2LP1	0.74636286
HNF4GP1	RP11-775L16.1	0.75980896
MYT1L-AS1	EXOC7P1	0.7552716
MYT1L-AS1	SLC13A1	0.7106531
MYT1L-AS1	GAPDHP26	0.707736
MYT1L-AS1	RP1-228P16.9	0.71483463
MYT1L-AS1	TRIM49D1	0.706906
MYT1L-AS1	PABPC1P13	0.70670956
MYT1L-AS1	PNLIPRP1	0.7141395
MYT1L-AS1	RP11-258B16.1	0.8035157
MYT1L-AS1	SLC25A3P1	0.7231882
MYT1L-AS1	OR2G2	0.7255945
MYT1L-AS1	OR5T3	0.71918076
MYT1L-AS1	AC020956.3	0.7044793
MYT1L-AS1	CTD-2342I9.1	0.7073429
MYT1L-AS1	RP1-217P22.2	0.7091737
MYT1L-AS1	NLRP9P	0.8052866
MYT1L-AS1	RP11-113I24.1	0.70971435
MYT1L-AS1	RP11-301G19.2	0.77322453
MYT1L-AS1	IL17A	0.7208619
MYT1L-AS1	ANKRD26P2	0.7085784
MYT1L-AS1	HSPD1P8	0.7041305
MYT1L-AS1	PABPC1P6	0.73006934
MYT1L-AS1	FAM71B	0.77709746
MYT1L-AS1	MAPK6PS4	0.71131545
FCRL3	RP3-492J12.2	0.7459622
FCRL3	SIRPG-AS1	0.78375167
FCRL3	CD19	0.7081067
FCRL3	TBC1D27	0.73749614
FCRL3	CNR2	0.76049846
FCRL3	RP11-367J7.3	0.71985656
FCRL3	MS4A1	0.75184155
FCRL3	BLK	0.7881625
FCRL3	LINC00402	0.7829353
FCRL3	FCRL2	0.7657087
FCRL3	FCRL1	0.73755044
OR2W1	PGAM1P13	0.7238021
OR2W1	ELL2P3	0.711777
OR2W1	RP11-189G24.2	0.71384174
OR2W1	RP11-454P7.1	0.70766765
OR2J1	RP11-251P6.1	0.70497876
OR2J1	RP1-228P16.9	0.71177894
OR2J1	RP11-307A17.2	0.7247699
OR2J1	RP11-744D14.2	0.72295713
OR2J1	ZIM3	0.74084526
OR2J1	LINC00558	0.726928
OR2J1	LINC01015	0.7491359
OR2J1	RP11-1112C15.1	0.7120537
OR2J1	RP5-1077H22.2	0.70560837
OR2J1	MTND4P1	0.7186789
OR2J1	TAAR2	0.7068401
OR2J1	LINC01440	0.7126151
OR2J1	CTD-2342I9.1	0.7300752
OR2J1	RP11-1281K21.1	0.7623603
OR2J1	EHHADH-AS1	0.82301444
OR2J1	OR8U1	0.70585704
OR2J1	RP11-193H5.1	0.73590416
OR2J1	LINC01566	0.70433134
OR2J1	TRIM60P13	0.77572614
OR2J1	KRT17P4	0.77857023
OR2J1	MTND1P7	0.71228075
OR2J1	OR4D10	0.7309455
OR2J1	RP11-301G19.2	0.72526103
OR2J1	LINC01553	0.7186987
OR2J1	RP11-566K19.12	0.7178324
OR2J1	RP4-640H8.2	0.7005735
OR2J1	UGT2A3	0.74226815
OR2J1	RP11-1081L13.3	0.76604503
OR2J1	PABPC1P6	0.7562091
RP11-735A19.2	OR6C68	0.7082073
RP11-735A19.2	FKBP4P6	0.718518
RP11-735A19.2	RP11-36D19.9	0.72403187
RP11-735A19.2	OR12D3	0.73011357
RP11-735A19.2	HTR5A-AS1	0.71778613
RP11-735A19.2	EIF2S2P2	0.74841124
RP11-544P1.3	HSPD1P15	0.7466204
RP11-544P1.3	FOXA2	0.7146743
RP11-544P1.3	RP11-698E18.1	0.7650397
RP11-544P1.3	RP5-1077H22.2	0.7704784
RP11-544P1.3	SLC4A1APP2	0.72941494
RP11-544P1.3	RP11-91I20.3	0.74377084
RP11-544P1.3	RP11-470L19.2	0.7001236
RP11-544P1.3	RP11-513O17.3	0.712615
RP11-544P1.3	RP11-476D10.1	0.7213188
RP11-544P1.3	RP11-25D10.2	0.7522063
RP11-544P1.3	NEK2P2	0.7739203
RP11-544P1.3	MAS1	0.71439236
RP11-544P1.3	TISP43	0.7004123
RP11-544P1.3	AC106870.1	0.7328591
RP11-544P1.3	SALL1P1	0.7557123
RP11-544P1.3	RP11-19D2.2	0.70586866
RP11-544P1.3	RP11-641A6.5	0.70474845
RP11-544P1.3	MIR7515HG	0.7486882
RP11-544P1.3	OR4D10	0.7291848
RP11-544P1.3	F9	0.73708296
RP11-544P1.3	RP11-143A12.3	0.7342715
RP11-544P1.3	HTR5A-AS1	0.72404176
RP11-544P1.3	ANKRD26P2	0.7011607
RP11-544P1.3	LINC00703	0.7094507
RP11-544P1.3	RP11-576D8.4	0.70782405
RP11-544P1.3	RP5-998G20.1	0.7647271
RP11-544P1.3	OR4K2	0.7038882
RP11-544P1.3	RP11-861E23.2	0.7292133
LINC00934	AP005901.1	0.76444894
LINC00934	RP11-866E20.3	0.7236349
LINC00934	MTND5P27	0.7064338
LINC00934	RP13-580B18.2	0.74605876
LINC00934	PSMC1P6	0.72898215
LINC00934	RP11-284A20.2	0.7562472
LINC00934	RP3-333B15.4	0.7372528
LINC00934	RP11-204I15.1	0.72979575
LINC00934	RP11-677O4.2	0.7112181
LINC00934	RP11-541F9.2	0.7177801
LINC00934	UBTFL11	0.71355456
PGAM1P13	NCAPD2P1	0.70040244
PGAM1P13	SERPINA7	0.7302416
PGAM1P13	OR5H14	0.7086296
PGAM1P13	RP11-280G9.1	0.70363235
PGAM1P13	OR1I1	0.72848946
RP11-294L13.1	RP13-130D24.1	0.78635997
RP11-294L13.1	KLHL1	0.71192855
RP11-294L13.1	RP11-1112C15.1	0.7688856
RP11-294L13.1	RP11-410C4.5	0.7213438
RP11-294L13.1	MTND5P27	0.7563718
RP11-294L13.1	RP11-225N10.1	0.72990966
RP11-294L13.1	SMIM21	0.7596447
RP11-294L13.1	RP11-153K16.2	0.7383795
RP11-294L13.1	RP11-68D16.2	0.74292105
RP11-294L13.1	RP11-474D1.3	0.7475209
RP11-294L13.1	TOPAZ1	0.7110612
RP11-294L13.1	RP11-1281K21.1	0.73274946
RP11-294L13.1	AP000469.2	0.72861695
RP11-294L13.1	CTD-2544L4.1	0.70565695
RP11-294L13.1	EHHADH-AS1	0.7287895
RP11-294L13.1	RP11-946L20.1	0.7109311
RP11-294L13.1	PRDM9	0.7102755
RP11-294L13.1	AHSG	0.70287085
RP11-294L13.1	C16orf97	0.736998
RP11-294L13.1	RP11-193H5.1	0.7062264
RP11-294L13.1	MCHR2	0.721337
RP11-294L13.1	FLJ37505	0.7175676
RP11-294L13.1	RP11-284A20.2	0.7268999
RP11-294L13.1	TRIM60P13	0.7430153
RP11-294L13.1	CTAGE13P	0.7260571
RP11-294L13.1	GABRG1	0.70768577
RP11-294L13.1	SLC39A12-AS1	0.70666814
RP11-294L13.1	RP11-568G20.2	0.7116885
RP11-294L13.1	RP11-544D21.2	0.70351905
RP11-294L13.1	RP11-566K19.12	0.72673243
RP11-294L13.1	LINC01222	0.72589105
RP11-294L13.1	RP11-80F22.5	0.706855
RP11-294L13.1	RP11-80F22.10	0.73241186
RP11-294L13.1	AC034110.1	0.765747
RP11-294L13.1	CTD-2351A16.1	0.7787607
RP11-294L13.1	HSPD1P7	0.7075073
RP11-294L13.1	BIRC8	0.7208111
RP11-294L13.1	RP11-707A18.1	0.7414694
RP11-294L13.1	AC005176.2	0.72198886
RP11-294L13.1	AC018890.4	0.7563653
GMNC	ICE2P2	0.7840355
GMNC	ACTR3BP5	0.73641676
GMNC	HSPD1P15	0.7201829
GMNC	HSFY1P1	0.7630355
GMNC	KCNV1	0.7199395
GMNC	RP11-1112C15.1	0.74127215
GMNC	RP11-73G16.1	0.7402239
GMNC	RP5-1077H22.2	0.733982
GMNC	RP11-395E19.6	0.7000535
GMNC	KRT18P46	0.7195224
GMNC	KRT38	0.7565026
GMNC	RP11-25D10.2	0.7404855
GMNC	RP4-610C12.4	0.74415106
GMNC	OR5H15	0.77237076
GMNC	RP11-108B14.5	0.73773354
GMNC	FAM169B	0.7274099
GMNC	LINC01299	0.7318614
GMNC	RP11-193H5.1	0.7037256
GMNC	SALL1P1	0.7115089
GMNC	LINC01114	0.7114258
GMNC	RPTN	0.8256311
GMNC	RP11-638L3.3	0.72174805
GMNC	GS1-519E5.1	0.70476514
GMNC	RP11-730N24.1	0.7639637
GMNC	RP11-143A12.3	0.75785464
GMNC	LINC01222	0.7491663
GMNC	OR12D3	0.7046438
GMNC	ZNF536	0.76309586
GMNC	PRR23B	0.7747972
GMNC	CTD-2351A16.1	0.741533
GMNC	RP5-998G20.1	0.70556784
GMNC	OR4K2	0.71171194
GMNC	MTND5P30	0.74186975
GMNC	RP11-861E23.2	0.70701456
GMNC	LINC01204	0.7332137
GMNC	MAPK6PS4	0.7519133
ICE2P2	ACTR3BP5	0.73023075
ICE2P2	RP11-463J7.2	0.70760965
ICE2P2	OPCML-IT1	0.70521045
ICE2P2	HSFY1P1	0.76802367
ICE2P2	RP4-668E10.4	0.7591694
ICE2P2	LINC00836	0.7372094
ICE2P2	ADH7	0.71880084
ICE2P2	HSP90AB7P	0.7365596
ICE2P2	RP11-144L1.4	0.72631186
ICE2P2	EEF1A1P36	0.72928786
ICE2P2	RP11-21L1.1	0.76079154
ICE2P2	FAM47C	0.7047729
ICE2P2	UGT2B10	0.72580546
ICE2P2	MC2R	0.7078478
ICE2P2	KRT18P46	0.81284666
ICE2P2	RP11-153K16.2	0.71781296
ICE2P2	RIOK3P1	0.7102713
ICE2P2	RP11-118H4.1	0.72542167
ICE2P2	SPATA31D3	0.7126651
ICE2P2	CTC-525D6.3	0.7268014
ICE2P2	KRT38	0.73543555
ICE2P2	RP11-25D10.2	0.7982745
ICE2P2	RP4-800O15.2	0.70155424
ICE2P2	CTD-2339F6.1	0.71307296
ICE2P2	SLC34A1	0.71374464
ICE2P2	OR5H15	0.7324279
ICE2P2	TCP10	0.71184427
ICE2P2	RP11-946L20.1	0.7223484
ICE2P2	SALL1P1	0.7634148
ICE2P2	RP11-475D12.2	0.7643536
ICE2P2	SNTG1	0.7327985
ICE2P2	RP11-113I24.1	0.7020001
ICE2P2	VN1R7P	0.74957323
ICE2P2	RPTN	0.7256727
ICE2P2	RP11-638L3.3	0.71778345
ICE2P2	PNPT1P2	0.75313854
ICE2P2	OR7E24	0.709328
ICE2P2	TMCC1P1	0.70873237
ICE2P2	OR4D10	0.708782
ICE2P2	RP11-65D24.2	0.7060515
ICE2P2	KRT18P43	0.73380333
ICE2P2	ZNF536	0.7069538
ICE2P2	ANKRD26P2	0.70863706
ICE2P2	PRR23B	0.7396162
ICE2P2	RP11-716D16.1	0.7358778
ICE2P2	ACTR3BP3	0.74824435
ICE2P2	VEZF1P1	0.7165913
ICE2P2	FLJ22763	0.7431831
ICE2P2	RP5-998G20.1	0.7051141
ICE2P2	USP29	0.73014903
ICE2P2	RP11-707A18.1	0.7087596
ICE2P2	OR4K2	0.7722018
ICE2P2	LINC00661	0.7406659
ICE2P2	MTND5P30	0.76293397
ICE2P2	OR5K3	0.7477079
ICE2P2	LINC01204	0.72396
ICE2P2	MAPK6PS4	0.70159775
IGKV1D-39	IGKV1-9	0.7261093
IGKV1D-39	IGHV3-53	0.77928513
IGKV1D-39	IGHM	0.7393622
IGKV1D-39	IGLV3-19	0.7555976
IGKV1D-39	IGHV5-51	0.7563403
IGKV1D-39	IGLV2-23	0.8310657
IGKV1D-39	IGHV4-39	0.752419
IGKV1D-39	IGHV3-11	0.8010354
IGKV1D-39	IGKV3-11	0.80764717
IGKV1D-39	IGLV2-11	0.7631356
IGKV1D-39	IGHG1	0.7846251
IGKV1D-39	IGHG3	0.74947095
IGKV1D-39	IGKV3-15	0.7724586
IGKV1D-39	IGHV3-49	0.741097
IGKV1D-39	IGKV1-33	0.7767412
IGKV1D-39	IGLC2	0.8306481
IGKV1D-39	IGKV4-1	0.79183674
IGKV1D-39	IGLV2-14	0.79072696
IGKV1D-39	IGHV3-15	0.75059366
IGKV1D-39	IGKC	0.8202264
IGKV1D-39	IGLL5	0.8087759
IGKV1D-39	IGHV4-31	0.7616134
IGKV1D-39	IGLC3	0.7431869
IGKV1D-39	IGHV3-33	0.7275572
IGKV1D-39	IGLV3-1	0.7633484
IGKV1D-39	IGKV2-28	0.7512803
IGKV1D-39	IGHV1-46	0.7361612
IGKV1D-39	IGHV3-74	0.7767876
IGKV1D-39	IGHG2	0.7177184
IGKV1D-39	IGLV1-40	0.82481927
IGKV1D-39	IGHV1-18	0.78720695
IGKV1D-39	IGKV3-20	0.7850607
IGKV1D-39	IGKV1-5	0.8032629
IGKV1D-39	IGLV1-51	0.7754013
IGKV1D-39	IGLV6-57	0.7189808
IGKV1D-39	IGHV4-34	0.75975585
IGKV1D-39	IGLV3-21	0.75672317
IGKV1D-39	IGLV1-47	0.77932614
SLC13A1	RP1-228P16.9	0.733798
SLC13A1	TPD52L3	0.7077646
SLC13A1	DCAF8L2	0.72348624
SLC13A1	RP11-258B16.1	0.7396698
SLC13A1	TSPAN19	0.71100074
SLC13A1	SLC25A3P1	0.71411055
SLC13A1	SMIM21	0.7088774
SLC13A1	LINC00261	0.7124451
SLC13A1	NLRP9P	0.72094417
SLC13A1	RP5-865N13.1	0.7114653
SLC13A1	RP11-193H5.1	0.71316385
SLC13A1	LINC01566	0.77150995
SLC13A1	FGF4	0.7007825
SLC13A1	TECTB	0.7019429
SLC13A1	ATP5F1P2	0.7496646
SLC13A1	CTD-2561F5.1	0.7722122
SLC13A1	RP11-730N24.1	0.7065091
SLC13A1	RP11-566K19.12	0.7131367
SLC13A1	RP11-2A4.4	0.7064495
SLC13A1	FLJ33581	0.7398254
SLC13A1	LINC00349	0.7085094
SLC13A1	RP11-402K9.1	0.73673296
SLC13A1	PABPC1P6	0.70213985
SLC13A1	AC005176.2	0.7015522
SLC13A1	CTC-463N11.1	0.7057779
LPCAT2BP	RP1-228P16.9	0.716553
LPCAT2BP	NR5A1	0.7160582
LPCAT2BP	RP4-668E10.4	0.730882
LPCAT2BP	RP11-14K3.1	0.74073243
LPCAT2BP	RP11-397A16.3	0.70147085
LPCAT2BP	AC016908.1	0.7008207
LPCAT2BP	RP11-572C21.1	0.73645943
LPCAT2BP	RP11-410C4.5	0.7313784
LPCAT2BP	FAM47C	0.7208732
LPCAT2BP	RP11-470L19.2	0.7111066
LPCAT2BP	ADAM7	0.79422575
LPCAT2BP	NCAPD2P1	0.713963
LPCAT2BP	LINC01320	0.707275
LPCAT2BP	RP11-153K16.2	0.7973685
LPCAT2BP	KRT38	0.7167637
LPCAT2BP	SBF1P1	0.710231
LPCAT2BP	RP11-481J2.2	0.71260875
LPCAT2BP	RP3-449H6.2	0.7376628
LPCAT2BP	GOLGA2P1	0.7070082
LPCAT2BP	FRG2DP	0.70677286
LPCAT2BP	RP11-946L20.1	0.7753883
LPCAT2BP	RP11-201A3.1	0.71897334
LPCAT2BP	OR2M1P	0.74813277
LPCAT2BP	SALL1P1	0.71920204
LPCAT2BP	RP11-475D12.2	0.7309254
LPCAT2BP	CHIAP2	0.72000533
LPCAT2BP	RP11-295D22.1	0.72150946
LPCAT2BP	RP11-204I15.1	0.7088935
LPCAT2BP	LINC01222	0.7770837
LPCAT2BP	ANKRD26P2	0.75781566
LPCAT2BP	ACTR3BP3	0.7276687
LPCAT2BP	AC034110.1	0.75313073
LPCAT2BP	CTD-2351A16.1	0.7306327
LPCAT2BP	RP11-158D2.2	0.7043033
LPCAT2BP	CAPZA3	0.7783623
LPCAT2BP	ZNF705A	0.7700744
LPCAT2BP	RP5-1119A7.17	0.7076233
LINC01019	NR5A1	0.72366095
LINC01019	CTD-2194D22.4	0.7127316
LINC01019	POTEA	0.7585945
LINC01019	RP4-764D2.1	0.7338843
LINC01019	GPR158-AS1	0.7360139
LINC01019	UROC1	0.7405514
LINC01019	LINC01080	0.7297468
LINC01019	RP11-244H18.1	0.70636654
LINC01019	LINC00210	0.71302396
LINC01019	LINC00703	0.7050496
LINC01019	OR8S1	0.72552633
GAPDHP26	REG1B	0.7178275
GAPDHP26	RP11-76I14.1	0.73525876
GAPDHP26	RP11-989E6.3	0.7228918
GAPDHP26	MTND5P27	0.71599984
GAPDHP26	RP11-395E19.6	0.75093156
GAPDHP26	SLC4A1APP2	0.706991
GAPDHP26	UGT2B10	0.7151714
GAPDHP26	NCAPD2P1	0.82259226
GAPDHP26	RP11-14C10.4	0.72166663
GAPDHP26	CTC-525D6.3	0.70363855
GAPDHP26	RP11-25D10.2	0.7017798
GAPDHP26	RP11-809F4.3	0.7044442
GAPDHP26	RP11-466J24.1	0.720638
GAPDHP26	RP3-449H6.2	0.72452784
GAPDHP26	FRG2DP	0.74776983
GAPDHP26	OR9G1	0.71766686
GAPDHP26	RP11-56L13.1	0.70490193
GAPDHP26	GJD2	0.7047787
GAPDHP26	SPATA31A3	0.74036145
GAPDHP26	PRDM9	0.70723134
GAPDHP26	C16orf97	0.7210536
GAPDHP26	CYLC2	0.7044656
GAPDHP26	RP11-284A20.2	0.76379776
GAPDHP26	CTC-281M20.1	0.71227664
GAPDHP26	RP11-560L11.1	0.70534176
GAPDHP26	OR4D10	0.73601407
GAPDHP26	OR4K5	0.72129536
GAPDHP26	RP11-301G19.2	0.7237067
GAPDHP26	RP11-568G20.2	0.7256492
GAPDHP26	PRAMEF26	0.71753234
GAPDHP26	PABPC1P9	0.71427304
GAPDHP26	RP11-56P9.10	0.7338558
GAPDHP26	OR1I1	0.7328083
GAPDHP26	ANKRD26P2	0.75997525
GAPDHP26	HSPD1P8	0.7160608
GAPDHP26	ACTR3BP3	0.7001407
GAPDHP26	AC034110.1	0.7179714
GAPDHP26	RP11-1081L13.3	0.73031425
GAPDHP26	RP5-998G20.1	0.7748273
GAPDHP26	OR4K2	0.7428736
GAPDHP26	RP11-403A3.1	0.7381113
OR4G1P	REG1B	0.7494038
OR4G1P	OPCML-IT1	0.73595303
OR4G1P	RP4-668E10.4	0.7063729
OR4G1P	RP5-1119O21.2	0.7188499
OR4G1P	CD300LD	0.70880395
OR4G1P	CROCCP1	0.7744622
OR4G1P	RP11-434D2.3	0.7061451
OR4G1P	CTC-525D6.1	0.74249095
OR4G1P	GALNTL5	0.74489206
OR4G1P	ELL2P3	0.71100885
OR4G1P	RP11-14C10.4	0.71227866
OR4G1P	MTND5P13	0.7154773
OR4G1P	AC013733.4	0.7480223
OR4G1P	CTD-2544L4.1	0.73501104
OR4G1P	SSX6	0.7533882
OR4G1P	RP11-24P4.1	0.76316977
OR4G1P	AHSG	0.7277941
OR4G1P	VN1R7P	0.71129656
OR4G1P	RP11-19D2.2	0.7220187
OR4G1P	ATP5A1P6	0.7936761
OR4G1P	HSPD1P3	0.71823794
OR4G1P	OR2T4	0.7104764
OR4G1P	RP11-16E18.1	0.70817137
OR4G1P	KIF2B	0.74361277
OR4G1P	OR12D3	0.7303419
OR4G1P	ACTR3BP3	0.70389515
OR4G1P	FLJ22763	0.7521269
OR4G1P	TRIM43	0.7486191
OR4G1P	GS1-590J6.2	0.74838775
OR4G1P	GYG1P2	0.71728176
OR4G1P	OR4K2	0.7295734
OR4G1P	LINC01204	0.70171696
OR4G1P	LINC01346	0.72361606
RP11-463J7.2	HSFY1P1	0.71523505
RP11-463J7.2	LINC00836	0.7141664
RP11-463J7.2	EEF1A1P36	0.71524644
RP11-463J7.2	RP11-470L19.2	0.7143987
RP11-463J7.2	MC2R	0.7804511
RP11-463J7.2	RP11-646E18.4	0.7132373
RP11-463J7.2	RP11-118H4.1	0.7246642
RP11-463J7.2	RP11-25D10.2	0.75390583
RP11-463J7.2	RP4-800O15.2	0.72028637
RP11-463J7.2	CXXC1P1	0.7016632
RP11-463J7.2	SALL1P1	0.75306606
RP11-463J7.2	OR7E24	0.7241261
RP11-463J7.2	MAGEB3	0.7107348
RP11-463J7.2	SLC39A12-AS1	0.70364815
RP11-463J7.2	RP11-730N24.1	0.72407
RP11-463J7.2	KRT18P43	0.7535358
RP11-463J7.2	AC021451.1	0.71531534
RP11-463J7.2	RP11-707A18.1	0.7380746
RP11-463J7.2	OR4K2	0.71348804
RP11-463J7.2	MTND5P30	0.72836
RP11-463J7.2	RP11-861E23.2	0.7015564
REG1B	RP11-14K3.1	0.7174371
REG1B	LINC00836	0.70367575
REG1B	KLHL1	0.7784582
REG1B	RP11-1112C15.1	0.7559344
REG1B	RP11-144L1.4	0.7322011
REG1B	GALNTL5	0.80330366
REG1B	MTND5P27	0.7600236
REG1B	RP11-470L19.2	0.7092188
REG1B	RP11-153K16.2	0.7366863
REG1B	CTC-525D6.3	0.71200794
REG1B	RP11-508O18.1	0.7541234
REG1B	MAGEB6	0.74102277
REG1B	CTD-2339F6.1	0.72098833
REG1B	FRG2DP	0.75794363
REG1B	RP11-593P24.2	0.717158
REG1B	OR9G1	0.7306471
REG1B	TCP10	0.712085
REG1B	CTD-2544L4.1	0.70640105
REG1B	EHHADH-AS1	0.71739715
REG1B	RP3-428A13.2	0.72850007
REG1B	AP004782.1	0.71144605
REG1B	PRDM9	0.782697
REG1B	RP5-865N13.1	0.7144676
REG1B	RP11-284A20.2	0.73046637
REG1B	TRIM60P13	0.75346375
REG1B	RP11-19D2.2	0.7577451
REG1B	ATP5A1P6	0.70902866
REG1B	RP11-79E3.3	0.70933
REG1B	MTND4P5	0.7060838
REG1B	OR2T4	0.7348199
REG1B	RP11-280G9.1	0.7188191
REG1B	LCN8	0.71296495
REG1B	RP11-313I2.5	0.7174085
REG1B	OR12D3	0.74339247
REG1B	ANKRD26P2	0.7143101
REG1B	RP11-234O6.2	0.7281973
REG1B	ACTR3BP3	0.71184427
REG1B	FLJ22763	0.7029682
REG1B	HSPD1P7	0.7250883
REG1B	BEND2	0.81302977
REG1B	OR4K2	0.7506499
REG1B	RP11-300M24.1	0.75604653
